Time period,Counterparty,Buy,Sell,Size
136,Charlie the Chad,,1,42
137,Charlie the Chad,,1,23
138,Charlie the Chad,,,28
139,Charlie the Chad,,1,49
140,Charlie the Chad,1,,27
141,Charlie the Chad,1,,59
142,Charlie the Chad,,1,31
143,Charlie the Chad,,,50
144,Charlie the Chad,1,,42
145,Charlie the Chad,,1,37
146,Charlie the Chad,,1,47
147,Charlie the Chad,1,,42
148,Charlie the Chad,,1,32
149,Charlie the Chad,1,,53
150,Charlie the Chad,,1,27
151,Charlie the Chad,1,,59
152,Charlie the Chad,1,,45
153,Charlie the Chad,,1,59
154,Charlie the Chad,1,,22
155,Charlie the Chad,1,,46
156,Charlie the Chad,,1,47
157,Charlie the Chad,1,,58
158,Charlie the Chad,1,,21
159,Charlie the Chad,,,38
160,Charlie the Chad,1,,42
161,Charlie the Chad,,1,35
162,Charlie the Chad,,1,25
163,Charlie the Chad,1,,23
164,Charlie the Chad,,,45
165,Charlie the Chad,,,21
166,Charlie the Chad,,1,45
167,Charlie the Chad,1,,46
168,Charlie the Chad,1,,35
169,Charlie the Chad,,,28
170,Charlie the Chad,1,,23
171,Charlie the Chad,,,21
172,Charlie the Chad,1,,57
173,Charlie the Chad,,1,39
174,Charlie the Chad,1,,59
175,Charlie the Chad,,,60
176,Charlie the Chad,,,27
177,Charlie the Chad,,1,51
178,Charlie the Chad,1,,35
179,Charlie the Chad,,1,21
180,Charlie the Chad,,1,48
181,Charlie the Chad,,1,40
182,Charlie the Chad,1,,48
183,Charlie the Chad,,,50
184,Charlie the Chad,,,46
185,Charlie the Chad,,1,53
186,Charlie the Chad,1,,46
187,Charlie the Chad,,1,26
188,Charlie the Chad,,,38
189,Charlie the Chad,1,,22
190,Charlie the Chad,1,,50
191,Charlie the Chad,,,57
192,Charlie the Chad,1,,60
193,Charlie the Chad,1,,36
194,Charlie the Chad,,1,36
195,Charlie the Chad,,1,28
196,Charlie the Chad,,1,39
197,Charlie the Chad,1,,38
198,Charlie the Chad,,,34
199,Charlie the Chad,,,51
200,Charlie the Chad,1,,35
201,Charlie the Chad,1,,24
202,Charlie the Chad,1,,58
203,Charlie the Chad,,1,31
204,Charlie the Chad,,1,38
205,Charlie the Chad,,,48
206,Charlie the Chad,,1,21
207,Charlie the Chad,1,,47
208,Charlie the Chad,,1,45
209,Charlie the Chad,1,,52
210,Charlie the Chad,,1,45
211,Charlie the Chad,,1,50
212,Charlie the Chad,,1,59
213,Charlie the Chad,1,,21
214,Charlie the Chad,,1,31
215,Charlie the Chad,,,50
216,Charlie the Chad,,1,23
217,Charlie the Chad,,,21
218,Charlie the Chad,1,,38
219,Charlie the Chad,,,49
220,Charlie the Chad,,1,30
221,Charlie the Chad,1,,20
222,Charlie the Chad,1,,49
223,Charlie the Chad,,,27
224,Charlie the Chad,1,,29
225,Charlie the Chad,,,35
226,Charlie the Chad,1,,50
227,Charlie the Chad,,1,23
228,Charlie the Chad,,1,23
229,Charlie the Chad,1,,33
230,Charlie the Chad,1,,48
231,Charlie the Chad,1,,27
232,Charlie the Chad,1,,25
233,Charlie the Chad,1,,57
234,Charlie the Chad,,,54
235,Charlie the Chad,1,,29
236,Charlie the Chad,1,,43
237,Charlie the Chad,1,,38
238,Charlie the Chad,1,,58
239,Charlie the Chad,,1,57
240,Charlie the Chad,1,,60
241,Charlie the Chad,,1,53
242,Charlie the Chad,,1,27
243,Charlie the Chad,,1,24
244,Charlie the Chad,1,,55
245,Charlie the Chad,,1,54
246,Charlie the Chad,,1,24
247,Charlie the Chad,1,,57
248,Charlie the Chad,,1,25
249,Charlie the Chad,1,,58
250,Charlie the Chad,,1,32
251,Charlie the Chad,,1,60
252,Charlie the Chad,1,,36
253,Charlie the Chad,,1,32
254,Charlie the Chad,1,,23
255,Charlie the Chad,1,,50
256,Charlie the Chad,,1,43
257,Charlie the Chad,1,,21
258,Charlie the Chad,,1,30
259,Charlie the Chad,1,,40
260,Charlie the Chad,1,,41
261,Charlie the Chad,1,,55
262,Charlie the Chad,1,,46
263,Charlie the Chad,,1,34
264,Charlie the Chad,,1,30
265,Charlie the Chad,,1,56
266,Charlie the Chad,,,20
267,Charlie the Chad,,,43
268,Charlie the Chad,,1,31
269,Charlie the Chad,,1,53
270,Charlie the Chad,1,,44
271,Charlie the Chad,,,38
272,Charlie the Chad,,1,52
273,Charlie the Chad,,1,47
274,Charlie the Chad,,1,52
275,Charlie the Chad,,1,25
276,Charlie the Chad,1,,25
277,Charlie the Chad,,1,60
278,Charlie the Chad,,,29
279,Charlie the Chad,,1,28
280,Charlie the Chad,,,26
281,Charlie the Chad,1,,31
282,Charlie the Chad,1,,39
283,Charlie the Chad,,1,25
284,Charlie the Chad,1,,33
285,Charlie the Chad,,1,25
286,Charlie the Chad,1,,56
287,Charlie the Chad,1,,42
288,Charlie the Chad,,1,42
289,Charlie the Chad,1,,47
290,Charlie the Chad,,1,60
291,Charlie the Chad,,1,51
292,Charlie the Chad,1,,34
293,Charlie the Chad,1,,22
294,Charlie the Chad,,,52
295,Charlie the Chad,,1,30
296,Charlie the Chad,1,,51
297,Charlie the Chad,,1,60
298,Charlie the Chad,,,51
299,Charlie the Chad,1,,33
300,Charlie the Chad,,1,51
301,Charlie the Chad,1,,47
302,Charlie the Chad,1,,59
303,Charlie the Chad,,1,31
304,Charlie the Chad,1,,50
305,Charlie the Chad,,1,39
306,Charlie the Chad,,1,37
307,Charlie the Chad,,1,34
308,Charlie the Chad,,,32
309,Charlie the Chad,1,,21
310,Charlie the Chad,,1,26
311,Charlie the Chad,,,40
312,Charlie the Chad,,1,30
313,Charlie the Chad,,,41
314,Charlie the Chad,,1,33
315,Charlie the Chad,1,,56
316,Charlie the Chad,,1,34
317,Charlie the Chad,1,,35
318,Charlie the Chad,,1,26
319,Charlie the Chad,,,31
320,Charlie the Chad,,1,37
321,Charlie the Chad,1,,43
322,Charlie the Chad,,1,54
323,Charlie the Chad,1,,46
324,Charlie the Chad,,1,50
325,Charlie the Chad,,1,46
326,Charlie the Chad,,,33
327,Charlie the Chad,,1,22
328,Charlie the Chad,1,,43
329,Charlie the Chad,,1,26
330,Charlie the Chad,1,,55
331,Charlie the Chad,1,,57
332,Charlie the Chad,,,48
333,Charlie the Chad,,1,50
334,Charlie the Chad,,1,23
335,Charlie the Chad,,,46
336,Charlie the Chad,1,,49
337,Charlie the Chad,,,54
338,Charlie the Chad,,1,23
339,Charlie the Chad,,1,41
340,Charlie the Chad,1,,55
341,Charlie the Chad,,,29
342,Charlie the Chad,1,,40
343,Charlie the Chad,,1,43
344,Charlie the Chad,1,,21
345,Charlie the Chad,,1,34
346,Charlie the Chad,,,54
347,Charlie the Chad,,,20
348,Charlie the Chad,,,25
349,Charlie the Chad,,1,35
350,Charlie the Chad,1,,56
351,Charlie the Chad,1,,47
352,Charlie the Chad,,,25
353,Charlie the Chad,,,39
354,Charlie the Chad,1,,49
355,Charlie the Chad,,1,60
356,Charlie the Chad,1,,30
357,Charlie the Chad,1,,22
358,Charlie the Chad,,1,59
359,Charlie the Chad,,1,44
360,Charlie the Chad,,,36
361,Charlie the Chad,,1,36
362,Charlie the Chad,,1,58
363,Charlie the Chad,,1,55
364,Charlie the Chad,,,25
365,Charlie the Chad,1,,20
366,Charlie the Chad,,,43
367,Charlie the Chad,1,,55
368,Charlie the Chad,,,53
369,Charlie the Chad,1,,34
370,Charlie the Chad,1,,31
371,Charlie the Chad,,1,46
372,Charlie the Chad,,1,38
373,Charlie the Chad,,1,54
374,Charlie the Chad,,1,59
375,Charlie the Chad,,,31
376,Charlie the Chad,1,,57
377,Charlie the Chad,1,,57
378,Charlie the Chad,,1,43
379,Charlie the Chad,1,,51
380,Charlie the Chad,,1,59
381,Charlie the Chad,1,,29
382,Charlie the Chad,,1,25
383,Charlie the Chad,,1,54
384,Charlie the Chad,1,,39
385,Charlie the Chad,1,,36
386,Charlie the Chad,,1,60
387,Charlie the Chad,,1,28
388,Charlie the Chad,1,,45
389,Charlie the Chad,,1,31
390,Charlie the Chad,1,,48
391,Charlie the Chad,1,,32
392,Charlie the Chad,,1,54
393,Charlie the Chad,,1,22
394,Charlie the Chad,1,,35
395,Charlie the Chad,1,,29
396,Charlie the Chad,,1,32
397,Charlie the Chad,,1,52
398,Charlie the Chad,,,33
399,Charlie the Chad,,,42
400,Charlie the Chad,,1,46
401,Charlie the Chad,1,,53
402,Charlie the Chad,1,,56
403,Charlie the Chad,,,20
404,Charlie the Chad,,1,42
405,Charlie the Chad,,1,48
406,Charlie the Chad,1,,49
407,Charlie the Chad,,1,44
408,Charlie the Chad,1,,40
409,Charlie the Chad,,1,56
410,Charlie the Chad,,1,53
411,Charlie the Chad,,1,41
412,Charlie the Chad,,1,32
413,Charlie the Chad,,1,30
414,Charlie the Chad,1,,58
415,Charlie the Chad,1,,29
416,Charlie the Chad,,1,59
417,Charlie the Chad,1,,54
418,Charlie the Chad,,1,46
419,Charlie the Chad,,1,55
420,Charlie the Chad,,1,32
421,Charlie the Chad,1,,31
422,Charlie the Chad,,,30
423,Charlie the Chad,,1,51
424,Charlie the Chad,1,,57
425,Charlie the Chad,,1,47
426,Charlie the Chad,,1,47
427,Charlie the Chad,,1,40
428,Charlie the Chad,,1,27
429,Charlie the Chad,,,42
430,Charlie the Chad,,1,26
431,Charlie the Chad,1,,33
432,Charlie the Chad,1,,32
433,Charlie the Chad,,1,25
434,Charlie the Chad,1,,47
435,Charlie the Chad,1,,60
436,Charlie the Chad,,1,35
437,Charlie the Chad,,,22
438,Charlie the Chad,,1,31
439,Charlie the Chad,1,,42
440,Charlie the Chad,,1,45
441,Charlie the Chad,,1,28
442,Charlie the Chad,1,,36
443,Charlie the Chad,1,,36
444,Charlie the Chad,1,,53
445,Charlie the Chad,,1,20
446,Charlie the Chad,1,,37
447,Charlie the Chad,,,20
448,Charlie the Chad,1,,27
449,Charlie the Chad,,1,21
450,Charlie the Chad,1,,20
451,Charlie the Chad,,1,55
452,Charlie the Chad,1,,59
453,Charlie the Chad,,1,47
454,Charlie the Chad,1,,22
455,Charlie the Chad,,1,40
456,Charlie the Chad,,1,45
457,Charlie the Chad,,1,55
458,Charlie the Chad,1,,22
459,Charlie the Chad,1,,45
460,Charlie the Chad,,1,22
461,Charlie the Chad,,1,51
462,Charlie the Chad,,1,36
463,Charlie the Chad,,1,31
464,Charlie the Chad,1,,44
465,Charlie the Chad,,1,59
466,Charlie the Chad,1,,27
467,Charlie the Chad,,1,30
468,Charlie the Chad,,1,33
469,Charlie the Chad,,1,28
470,Charlie the Chad,1,,53
471,Charlie the Chad,,1,52
472,Charlie the Chad,,,40
473,Charlie the Chad,1,,56
474,Charlie the Chad,1,,37
475,Charlie the Chad,1,,49
476,Charlie the Chad,,,58
477,Charlie the Chad,,1,36
478,Charlie the Chad,1,,59
479,Charlie the Chad,,1,48
480,Charlie the Chad,,1,44
481,Charlie the Chad,1,,52
482,Charlie the Chad,1,,34
483,Charlie the Chad,1,,34
484,Charlie the Chad,,1,44
485,Charlie the Chad,1,,33
486,Charlie the Chad,,,37
487,Charlie the Chad,1,,47
488,Charlie the Chad,,1,30
489,Charlie the Chad,,1,38
490,Charlie the Chad,1,,35
491,Charlie the Chad,1,,34
492,Charlie the Chad,1,,30
493,Charlie the Chad,1,,40
494,Charlie the Chad,,1,51
495,Charlie the Chad,,1,46
496,Charlie the Chad,1,,37
497,Charlie the Chad,1,,59
498,Charlie the Chad,1,,59
499,Charlie the Chad,,1,41
500,Charlie the Chad,,1,24
501,Charlie the Chad,1,,47
502,Charlie the Chad,,1,45
503,Charlie the Chad,,,28
504,Charlie the Chad,1,,23
505,Charlie the Chad,1,,34
506,Charlie the Chad,,,37
507,Charlie the Chad,1,,33
508,Charlie the Chad,1,,44
509,Charlie the Chad,,,39
510,Charlie the Chad,1,,42
511,Charlie the Chad,,,29
512,Charlie the Chad,1,,37
513,Charlie the Chad,1,,37
514,Charlie the Chad,1,,32
515,Charlie the Chad,,,26
516,Charlie the Chad,1,,24
517,Charlie the Chad,,1,36
518,Charlie the Chad,1,,53
519,Charlie the Chad,,1,58
520,Charlie the Chad,1,,42
521,Charlie the Chad,1,,28
522,Charlie the Chad,1,,49
523,Charlie the Chad,,,56
524,Charlie the Chad,,1,49
525,Charlie the Chad,1,,27
526,Charlie the Chad,1,,28
527,Charlie the Chad,1,,21
528,Charlie the Chad,,,43
529,Charlie the Chad,,1,32
530,Charlie the Chad,,1,41
531,Charlie the Chad,,,29
532,Charlie the Chad,1,,25
533,Charlie the Chad,,,38
534,Charlie the Chad,,1,25
535,Charlie the Chad,,1,31
536,Charlie the Chad,1,,22
537,Charlie the Chad,,1,28
538,Charlie the Chad,,,26
539,Charlie the Chad,,1,24
540,Charlie the Chad,,1,24
541,Charlie the Chad,,1,60
542,Charlie the Chad,1,,43
543,Charlie the Chad,1,,55
544,Charlie the Chad,1,,30
545,Charlie the Chad,1,,21
546,Charlie the Chad,1,,30
547,Charlie the Chad,,1,49
548,Charlie the Chad,,1,23
549,Charlie the Chad,,1,59
550,Charlie the Chad,1,,52
551,Charlie the Chad,,1,21
552,Charlie the Chad,1,,42
553,Charlie the Chad,1,,27
554,Charlie the Chad,1,,54
555,Charlie the Chad,,1,49
556,Charlie the Chad,1,,53
557,Charlie the Chad,,1,41
558,Charlie the Chad,1,,46
559,Charlie the Chad,,,56
560,Charlie the Chad,,1,26
561,Charlie the Chad,1,,56
562,Charlie the Chad,,1,54
563,Charlie the Chad,,1,47
564,Charlie the Chad,,,38
565,Charlie the Chad,1,,59
566,Charlie the Chad,,1,20
567,Charlie the Chad,1,,34
568,Charlie the Chad,1,,52
569,Charlie the Chad,1,,58
570,Charlie the Chad,,,41
571,Charlie the Chad,,,56
572,Charlie the Chad,1,,55
573,Charlie the Chad,1,,21
574,Charlie the Chad,1,,60
575,Charlie the Chad,,1,41
576,Charlie the Chad,,1,22
577,Charlie the Chad,,,31
578,Charlie the Chad,1,,23
579,Charlie the Chad,1,,38
580,Charlie the Chad,1,,60
581,Charlie the Chad,1,,55
582,Charlie the Chad,,1,38
583,Charlie the Chad,1,,22
584,Charlie the Chad,,,56
585,Charlie the Chad,1,,27
586,Charlie the Chad,,,50
587,Charlie the Chad,,1,47
588,Charlie the Chad,,1,52
589,Charlie the Chad,1,,20
590,Charlie the Chad,,,59
591,Charlie the Chad,1,,60
592,Charlie the Chad,,,22
593,Charlie the Chad,,1,23
594,Charlie the Chad,,1,25
595,Charlie the Chad,,1,55
596,Charlie the Chad,,1,44
597,Charlie the Chad,1,,41
598,Charlie the Chad,,1,58
599,Charlie the Chad,1,,43
600,Charlie the Chad,,,48
601,Charlie the Chad,,1,38
602,Charlie the Chad,1,,53
603,Charlie the Chad,,,29
604,Charlie the Chad,1,,42
605,Charlie the Chad,1,,43
606,Charlie the Chad,1,,30
607,Charlie the Chad,1,,54
608,Charlie the Chad,1,,41
609,Charlie the Chad,,1,48
610,Charlie the Chad,,1,31
611,Charlie the Chad,1,,60
612,Charlie the Chad,,,54
613,Charlie the Chad,,1,54
614,Charlie the Chad,,1,38
615,Charlie the Chad,1,,22
616,Charlie the Chad,,,26
617,Charlie the Chad,,1,56
618,Charlie the Chad,,1,38
619,Charlie the Chad,1,,27
620,Charlie the Chad,,,24
621,Charlie the Chad,,1,47
622,Charlie the Chad,1,,34
623,Charlie the Chad,,1,49
624,Charlie the Chad,,1,36
625,Charlie the Chad,1,,57
626,Charlie the Chad,1,,46
627,Charlie the Chad,1,,53
628,Charlie the Chad,,1,33
629,Charlie the Chad,,1,24
630,Charlie the Chad,,1,20
631,Charlie the Chad,,1,55
632,Charlie the Chad,1,,42
633,Charlie the Chad,,1,39
634,Charlie the Chad,,1,51
635,Charlie the Chad,1,,39
636,Charlie the Chad,1,,39
637,Charlie the Chad,,1,58
638,Charlie the Chad,,,42
639,Charlie the Chad,,1,39
640,Charlie the Chad,,1,35
641,Charlie the Chad,1,,43
642,Charlie the Chad,1,,25
643,Charlie the Chad,,,42
644,Charlie the Chad,,1,53
645,Charlie the Chad,,,36
646,Charlie the Chad,1,,43
647,Charlie the Chad,,1,31
648,Charlie the Chad,,1,20
649,Charlie the Chad,,1,60
650,Charlie the Chad,,1,21
651,Charlie the Chad,,,52
652,Charlie the Chad,,1,44
653,Charlie the Chad,,1,34
654,Charlie the Chad,1,,55
655,Charlie the Chad,1,,36
656,Charlie the Chad,,1,26
657,Charlie the Chad,1,,25
658,Charlie the Chad,1,,42
659,Charlie the Chad,,1,57
660,Charlie the Chad,,,41
661,Charlie the Chad,1,,36
662,Charlie the Chad,,,26
663,Charlie the Chad,1,,56
664,Charlie the Chad,,1,58
665,Charlie the Chad,,1,51
666,Charlie the Chad,,1,30
667,Charlie the Chad,,1,45
668,Charlie the Chad,1,,53
669,Charlie the Chad,,,53
670,Charlie the Chad,1,,51
671,Charlie the Chad,,1,27
672,Charlie the Chad,,1,49
673,Charlie the Chad,,1,36
674,Charlie the Chad,1,,31
675,Charlie the Chad,,1,36
676,Charlie the Chad,,1,59
677,Charlie the Chad,1,,60
678,Charlie the Chad,1,,46
679,Charlie the Chad,1,,39
680,Charlie the Chad,,1,45
681,Charlie the Chad,,,42
682,Charlie the Chad,1,,52
683,Charlie the Chad,,1,34
684,Charlie the Chad,1,,47
685,Charlie the Chad,1,,26
686,Charlie the Chad,,1,33
687,Charlie the Chad,,,21
688,Charlie the Chad,1,,33
689,Charlie the Chad,,1,34
690,Charlie the Chad,1,,59
691,Charlie the Chad,,1,27
692,Charlie the Chad,,1,30
693,Charlie the Chad,,1,29
694,Charlie the Chad,,1,60
695,Charlie the Chad,,1,31
696,Charlie the Chad,,1,20
697,Charlie the Chad,,1,30
698,Charlie the Chad,,1,52
699,Charlie the Chad,1,,42
700,Charlie the Chad,,,42
701,Charlie the Chad,1,,22
702,Charlie the Chad,1,,31
703,Charlie the Chad,1,,43
704,Charlie the Chad,,1,43
705,Charlie the Chad,,,40
706,Charlie the Chad,1,,46
707,Charlie the Chad,1,,31
708,Charlie the Chad,1,,58
709,Charlie the Chad,,,55
710,Charlie the Chad,1,,48
711,Charlie the Chad,1,,22
712,Charlie the Chad,,,42
713,Charlie the Chad,1,,60
714,Charlie the Chad,,1,31
715,Charlie the Chad,1,,46
716,Charlie the Chad,,,20
717,Charlie the Chad,1,,39
718,Charlie the Chad,,,24
719,Charlie the Chad,,1,38
720,Charlie the Chad,,1,60
721,Charlie the Chad,,,29
722,Charlie the Chad,,1,47
723,Charlie the Chad,,,48
724,Charlie the Chad,,1,33
725,Charlie the Chad,,1,43
726,Charlie the Chad,1,,33
727,Charlie the Chad,1,,24
728,Charlie the Chad,,,49
729,Charlie the Chad,1,,55
730,Charlie the Chad,1,,20
731,Charlie the Chad,,,57
732,Charlie the Chad,,,41
733,Charlie the Chad,,1,48
734,Charlie the Chad,,1,49
735,Charlie the Chad,,1,27
736,Charlie the Chad,1,,43
737,Charlie the Chad,1,,30
738,Charlie the Chad,,1,32
739,Charlie the Chad,,,27
740,Charlie the Chad,,1,53
741,Charlie the Chad,,1,32
742,Charlie the Chad,1,,34
743,Charlie the Chad,,1,24
744,Charlie the Chad,,1,52
745,Charlie the Chad,1,,55
746,Charlie the Chad,1,,28
747,Charlie the Chad,1,,56
748,Charlie the Chad,1,,33
749,Charlie the Chad,,1,60
750,Charlie the Chad,,1,23
751,Charlie the Chad,,1,56
752,Charlie the Chad,,,21
753,Charlie the Chad,1,,55
754,Charlie the Chad,1,,59
755,Charlie the Chad,,1,47
756,Charlie the Chad,1,,21
757,Charlie the Chad,1,,35
758,Charlie the Chad,,1,25
759,Charlie the Chad,1,,23
760,Charlie the Chad,,,28
761,Charlie the Chad,,,38
762,Charlie the Chad,,,36
763,Charlie the Chad,,,47
764,Charlie the Chad,,1,27
765,Charlie the Chad,,1,24
766,Charlie the Chad,,,21
767,Charlie the Chad,1,,25
768,Charlie the Chad,,1,41
769,Charlie the Chad,1,,51
770,Charlie the Chad,1,,50
771,Charlie the Chad,,,22
772,Charlie the Chad,,1,30
773,Charlie the Chad,,1,57
774,Charlie the Chad,1,,56
775,Charlie the Chad,,1,39
776,Charlie the Chad,1,,52
777,Charlie the Chad,,1,21
778,Charlie the Chad,,,38
779,Charlie the Chad,,1,47
780,Charlie the Chad,,1,34
781,Charlie the Chad,1,,21
782,Charlie the Chad,1,,20
783,Charlie the Chad,1,,56
784,Charlie the Chad,,1,34
785,Charlie the Chad,1,,26
786,Charlie the Chad,1,,30
787,Charlie the Chad,,,32
788,Charlie the Chad,1,,40
789,Charlie the Chad,1,,47
790,Charlie the Chad,1,,49
791,Charlie the Chad,1,,48
792,Charlie the Chad,,1,33
793,Charlie the Chad,,,59
794,Charlie the Chad,,1,25
795,Charlie the Chad,1,,56
796,Charlie the Chad,,1,44
797,Charlie the Chad,,1,26
798,Charlie the Chad,1,,52
799,Charlie the Chad,,1,27
800,Charlie the Chad,1,,49
801,Charlie the Chad,,,26
802,Charlie the Chad,,,21
803,Charlie the Chad,,1,27
804,Charlie the Chad,,1,31
805,Charlie the Chad,1,,48
806,Charlie the Chad,1,,46
807,Charlie the Chad,,1,57
808,Charlie the Chad,,1,39
809,Charlie the Chad,,1,25
810,Charlie the Chad,1,,44
811,Charlie the Chad,,1,26
812,Charlie the Chad,,,30
813,Charlie the Chad,,,47
814,Charlie the Chad,1,,42
815,Charlie the Chad,,1,31
816,Charlie the Chad,,,45
817,Charlie the Chad,,1,54
818,Charlie the Chad,,,47
819,Charlie the Chad,,1,21
820,Charlie the Chad,,1,46
821,Charlie the Chad,,,58
822,Charlie the Chad,,1,41
823,Charlie the Chad,,,60
824,Charlie the Chad,,1,37
825,Charlie the Chad,,1,41
826,Charlie the Chad,1,,37
827,Charlie the Chad,1,,46
828,Charlie the Chad,,1,25
829,Charlie the Chad,1,,32
830,Charlie the Chad,,1,42
831,Charlie the Chad,,,27
832,Charlie the Chad,1,,26
833,Charlie the Chad,,1,32
834,Charlie the Chad,,1,20
835,Charlie the Chad,,1,24
836,Charlie the Chad,,1,31
837,Charlie the Chad,1,,27
838,Charlie the Chad,1,,27
839,Charlie the Chad,,1,47
840,Charlie the Chad,1,,35
841,Charlie the Chad,,1,60
842,Charlie the Chad,1,,20
843,Charlie the Chad,1,,58
844,Charlie the Chad,,1,46
845,Charlie the Chad,1,,43
846,Charlie the Chad,,,59
847,Charlie the Chad,,,52
848,Charlie the Chad,,1,23
849,Charlie the Chad,,1,44
850,Charlie the Chad,1,,39
851,Charlie the Chad,,1,24
852,Charlie the Chad,1,,48
853,Charlie the Chad,1,,54
854,Charlie the Chad,1,,49
855,Charlie the Chad,1,,50
856,Charlie the Chad,,1,49
857,Charlie the Chad,,,33
858,Charlie the Chad,1,,30
859,Charlie the Chad,1,,21
860,Charlie the Chad,1,,52
861,Charlie the Chad,,1,52
862,Charlie the Chad,1,,48
863,Charlie the Chad,1,,58
864,Charlie the Chad,1,,44
865,Charlie the Chad,1,,51
866,Charlie the Chad,,1,47
867,Charlie the Chad,,,52
868,Charlie the Chad,1,,21
869,Charlie the Chad,,1,60
870,Charlie the Chad,1,,49
871,Charlie the Chad,,1,47
872,Charlie the Chad,,1,56
873,Charlie the Chad,,1,51
874,Charlie the Chad,1,,49
875,Charlie the Chad,,,23
876,Charlie the Chad,1,,42
877,Charlie the Chad,,1,50
878,Charlie the Chad,1,,31
879,Charlie the Chad,,,23
880,Charlie the Chad,,,30
881,Charlie the Chad,,,47
